10.0.0.3 : duplicate for [1], 84 bytes, 109 ms
10.0.0.3 : duplicate for [1], 84 bytes, 110 ms
10.0.0.3 : duplicate for [1], 84 bytes, 110 ms
10.0.0.3 : duplicate for [1], 84 bytes, 128 ms
10.0.0.3 : duplicate for [1], 84 bytes, 129 ms
10.0.0.3 : duplicate for [1], 84 bytes, 129 ms
10.0.0.3 : duplicate for [1], 84 bytes, 129 ms
10.0.0.3 : duplicate for [1], 84 bytes, 130 ms
10.0.0.3 : duplicate for [1], 84 bytes, 130 ms
10.0.0.3 : duplicate for [1], 84 bytes, 148 ms
10.0.0.3 : duplicate for [1], 84 bytes, 148 ms
10.0.0.3 : duplicate for [1], 84 bytes, 149 ms
10.0.0.4 : duplicate for [1], 84 bytes, 139 ms
10.0.0.3 : duplicate for [1], 84 bytes, 149 ms
10.0.0.4 : duplicate for [1], 84 bytes, 139 ms
10.0.0.4 : duplicate for [1], 84 bytes, 139 ms
10.0.0.4 : duplicate for [1], 84 bytes, 139 ms
10.0.0.3 : duplicate for [1], 84 bytes, 171 ms
10.0.0.4 : duplicate for [1], 84 bytes, 161 ms
10.0.0.4 : duplicate for [1], 84 bytes, 161 ms
10.0.0.4 : duplicate for [1], 84 bytes, 162 ms
10.0.0.4 : duplicate for [1], 84 bytes, 162 ms
10.0.0.4 : duplicate for [1], 84 bytes, 162 ms
10.0.0.4 : duplicate for [1], 84 bytes, 162 ms
10.0.0.4 : duplicate for [1], 84 bytes, 165 ms
10.0.0.4 : duplicate for [1], 84 bytes, 165 ms
10.0.0.4 : duplicate for [1], 84 bytes, 165 ms
10.0.0.4 : duplicate for [1], 84 bytes, 165 ms
10.0.0.4 : duplicate for [1], 84 bytes, 167 ms
10.0.0.2 : duplicate for [2], 84 bytes, 12.0 ms
10.0.0.2 : duplicate for [2], 84 bytes, 12.2 ms
10.0.0.2 : duplicate for [2], 84 bytes, 12.4 ms
10.0.0.3 : duplicate for [2], 84 bytes, 74.4 ms
10.0.0.3 : duplicate for [2], 84 bytes, 74.7 ms
10.0.0.3 : duplicate for [2], 84 bytes, 74.8 ms
10.0.0.3 : duplicate for [2], 84 bytes, 89.0 ms
10.0.0.3 : duplicate for [2], 84 bytes, 89.1 ms
10.0.0.3 : duplicate for [2], 84 bytes, 89.2 ms
10.0.0.3 : duplicate for [2], 84 bytes, 89.3 ms
10.0.0.3 : duplicate for [2], 84 bytes, 89.4 ms
10.0.0.3 : duplicate for [2], 84 bytes, 100 ms
10.0.0.3 : duplicate for [2], 84 bytes, 100 ms
10.0.0.3 : duplicate for [2], 84 bytes, 101 ms
10.0.0.3 : duplicate for [2], 84 bytes, 101 ms
10.0.0.3 : duplicate for [2], 84 bytes, 101 ms
10.0.0.3 : duplicate for [2], 84 bytes, 114 ms
10.0.0.3 : duplicate for [2], 84 bytes, 115 ms
10.0.0.4 : duplicate for [2], 84 bytes, 130 ms
10.0.0.4 : duplicate for [2], 84 bytes, 131 ms
10.0.0.4 : duplicate for [2], 84 bytes, 131 ms
10.0.0.4 : duplicate for [2], 84 bytes, 131 ms
10.0.0.4 : duplicate for [2], 84 bytes, 147 ms
10.0.0.4 : duplicate for [2], 84 bytes, 148 ms
10.0.0.4 : duplicate for [2], 84 bytes, 148 ms
10.0.0.4 : duplicate for [2], 84 bytes, 148 ms
10.0.0.4 : duplicate for [2], 84 bytes, 148 ms
10.0.0.4 : duplicate for [2], 84 bytes, 148 ms
10.0.0.4 : duplicate for [2], 84 bytes, 156 ms
10.0.0.4 : duplicate for [2], 84 bytes, 156 ms
10.0.0.4 : duplicate for [2], 84 bytes, 156 ms
10.0.0.4 : duplicate for [2], 84 bytes, 157 ms
10.0.0.4 : duplicate for [2], 84 bytes, 161 ms
10.0.0.2 : duplicate for [3], 84 bytes, 14.3 ms
10.0.0.2 : duplicate for [3], 84 bytes, 14.7 ms
10.0.0.2 : duplicate for [3], 84 bytes, 15.0 ms
10.0.0.3 : duplicate for [3], 84 bytes, 62.5 ms
10.0.0.3 : duplicate for [3], 84 bytes, 63.1 ms
